semantic,sparse,hybrid,rrf_score
61,45,59,0.01778827233372688
59,43,54,0.018112099208615486
65,19,35,0.020658227848101264
49,18,27,0.021994824747118325
56,20,32,0.021120689655172414
58,26,40,0.020102483247930625
60,24,38,0.020238095238095236
66,27,45,0.019430760810071154
54,50,58,0.017862838915470493
63,47,62,0.017475875693336373
64,49,64,0.017238828055637763
2,2,2,0.03225806451612903
16,4,7,0.028782894736842105
11,13,10,0.027783137179239824
10,11,8,0.028370221327967807
44,39,43,0.01971639471639472
38,48,44,0.019463340891912317
28,36,30,0.021780303030303032
45,34,39,0.02016210739614995
51,63,67,0.017139090309822018
21,5,11,0.027730294396961064
22,10,14,0.0264808362369338
52,28,37,0.020292207792207792
5,9,5,0.029877369007803793
12,15,12,0.027222222222222224
17,40,23,0.022987012987012986
24,42,31,0.021708683473389355
46,54,53,0.018205892088712344
55,55,63,0.017391304347826087
57,58,68,0.01702158481819499
47,67,65,0.01721981014055486
18,14,16,0.026334026334026334
50,32,41,0.019960474308300395
41,62,55,0.01809771141048531
33,57,46,0.01929969671905156
3,3,3,0.031746031746031744
15,8,9,0.02803921568627451
13,56,26,0.022319319792158714
37,59,49,0.01871263969505328
43,38,42,0.01991281949673073
29,7,17,0.026161328190508135
62,51,66,0.01720573032048442
39,68,57,0.017913510101010104
19,21,20,0.025003906860446942
23,17,19,0.025035205758097326
34,64,50,0.018702814001372685
35,65,51,0.018526315789473682
7,35,18,0.025451688923802042
67,16,34,0.0210319104848736
69,37,56,0.018061216335011586
53,46,52,0.018283519786274835
14,44,22,0.02312889812889813
27,52,36,0.020422824302134646
4,6,4,0.030776515151515152
26,33,25,0.022380595148787197
32,30,28,0.021980676328502417
31,31,29,0.02197802197802198
30,66,47,0.01904761904761905
40,69,60,0.017751937984496126
6,12,6,0.02904040404040404
25,23,21,0.02381289865343728
48,61,61,0.017523722069176614
42,29,33,0.021039876624807226
68,53,69,0.016662057522123894
36,60,48,0.01875
20,41,24,0.0224009900990099
9,22,13,0.026687875574407917
8,25,15,0.026470588235294117
1,1,1,0.03278688524590164
